Project_ID,Client_ID,Project_Name,Service_Line_ID,Branch_ID,Project_Manager_ID,Project_Type,Start_Date,Planned_End_Date,Actual_End_Date,Cancellation_Date,Cancellation_Reason,Project_Status,Contract_Value_CAD,Budgeted_Hours,Budgeted_Cost_CAD,Initial_Risk_Level
PRJ-0088,CLT-016,Lakeside Works Finance Transformation Roadmap,SL-04,BR-001,CON-078,Fixed Fee,2023-09-27,2024-04-15,2024-04-21,,,Completed,260480,2003.1,170466.33,High
PRJ-0089,CLT-024,Granite Analytics Process Automation Sprint,SL-06,BR-008,CON-059,Fixed Fee,2024-12-26,2025-03-25,,,,In Progress,88130,879.5,56034.76,Medium
PRJ-0090,CLT-029,Lakeside Supply Chain Controls & Compliance Review,SL-02,BR-004,CON-006,Fixed Fee,2025-04-17,2025-08-24,2025-08-23,,,Completed,204680,1856.4,129101.91,Medium
PRJ-0091,CLT-021,Evergreen Health Customer Analytics Pilot,SL-02,BR-001,CON-077,Fixed Fee,2023-05-08,2023-06-28,2023-07-24,,,Completed,90060,808.5,56224.76,Low
PRJ-0092,CLT-048,Metro FinServ BI Dashboard Implementation,SL-03,BR-005,CON-075,Fixed Fee,2023-05-14,2023-11-30,,,,,158340,1226.6,100182.22,Medium
PRJ-0093,CLT-019,Ontario Education Reporting Modernization,SL-03,BR-005,CON-069,Fixed Fee,2023-03-28,2023-05-09,2023-06-06,,,Completed,139510,1128.2,92147.67,Low
PRJ-0094,CLT-092,Lakeside Facilities Finance Transformation Roadmap,SL-01,BR-003,CON-048,Retainer,2024-01-13,2024-03-06,2024-04-18,,,Completed,79130,729,46124,Medium
PRJ-0095,CLT-017,Polar University Operating Model Review,SL-03,BR-006,CON-069,Retainer,2025-08-23,2025-12-17,2025-12-15,,,Completed,206580,1572.4,128425.34,Low
PRJ-0096,CLT-018,Northstar Systems Operating Model Review,SL-04,BR-006,CON-015,Fixed Fee,2025-01-23,2025-07-07,,2025-03-10,Client budget freeze,Cancelled,203140,1643.8,139885.92,Low
PRJ-0097,CLT-025,BlueRock Labs Process Automation Sprint,SL-02,BR-001,CON-048,Fixed Fee,2025-03-30,2025-06-27,,2025-04-15,Client merger/restructure,Cancelled,220920,2091.6,145455.03,High
PRJ-0098,CLT-061,Granite Consulting Controls & Compliance Review,SL-03,BR-006,CON-017,Time & Materials,2023-02-15,2023-07-30,2023-08-28,,,Completed,40610,329.4,26901.09,Low
PRJ-0099,CLT-022,Prairie Public Health Process Automation Sprint,SL-06,BR-004,CON-059,Time & Materials,2025-03-08,2025-08-30,2025-08-28,,,Completed,137820,1356.7,86438.29,Medium
PRJ-0100,CLT-039,Laurentian Logistics Finance Transformation Roadmap,SL-05,BR-005,CON-056,Fixed Fee,2023-11-25,2024-07-04,2024-07-03,,,Completed,179380,1121.6,98338.28,Low
PRJ-0101,CLT-058,Prairie Group Reporting Modernization,SL-03,BR-005,CON-032,Time & Materials,2023-03-01,2023-09-22,2023-10-09,,,Completed,122570,958.2,78262.99,Low
PRJ-0102,CLT-048,Metro FinServ Process Automation Sprint,SL-06,BR-003,CON-059,Time & Materials,2024-04-04,2024-08-27,2024-09-21,,,Completed,160420,1600.1,101945.53,Low
PRJ-0103,CLT-069,Pacific Public Health BI Dashboard Implementation,SL-06,BR-007,CON-059,Fixed Fee,2023-11-03,2024-06-01,2024-06-20,,,,78030,768,48931.51,Medium
PRJ-0104,CLT-012,BlueRock University Process Automation Sprint,SL-06,BR-006,CON-059,Fixed Fee,2023-10-22,2024-03-19,2024-04-21,,,Completed,48880,514.7,32791.28,Medium
PRJ-0105,CLT-085,Riverbend Telecom Workforce Change Program,SL-02,BR-002,CON-077,Fixed Fee,2025-05-03,2025-07-19,2025-07-13,,,Completed,68710,595.9,41441.24,Medium
PRJ-0106,CLT-063,Harbour Software Workforce Change Program,SL-03,BR-002,CON-033,Time & Materials,2025-01-08,2025-02-14,2025-02-04,,,Completed,30200,235.6,19241.71,Low
PRJ-0107,CLT-058,Prairie Group Customer Analytics Pilot,SL-04,BR-004,CON-074,Fixed Fee,2024-02-07,2024-05-17,2024-06-03,,,Completed,77060,573.9,48835.96,High
PRJ-0108,CLT-011,Birch Education Controls & Compliance Review,SL-03,BR-007,CON-069,Time & Materials,2024-01-18,2024-06-09,2024-07-28,,,Completed,179200,1362.7,111296.17,Low
PRJ-0109,CLT-063,Harbour Software Controls & Compliance Review,SL-03,BR-002,CON-075,Fixed Fee,2024-10-22,2024-12-08,2024-12-25,,,Completed,151790,1194.6,97567.45,Medium
PRJ-0110,CLT-037,Ontario Utilities Workforce Change Program,SL-01,BR-005,CON-038,Time & Materials,2024-09-22,2025-02-09,2025-02-02,,,Completed,127680,1191.5,75384.97,Medium
PRJ-0111,CLT-044,Pacific Labs Workforce Change Program,SL-02,BR-004,CON-006,Fixed Fee,2025-07-05,2026-02-09,,,,In Progress,55420,481.8,33505.23,Low
PRJ-0112,CLT-009,Brightpath Energy Process Automation Sprint,SL-05,BR-005,CON-057,Retainer,2024-05-12,2024-10-22,,2024-06-21,Client budget freeze,Cancelled,248710,1589.1,139323.57,Low
PRJ-0113,CLT-026,Northstar Retail Process Automation Sprint,SL-02,BR-004,CON-038,Retainer,2024-07-26,2024-12-01,,,,In Progress,149150,1289.3,89663.45,Low
PRJ-0114,CLT-072,Atlantic Systems Process Automation Sprint,SL-03,BR-002,CON-017,Retainer,2024-11-03,2024-12-10,2024-11-28,,,Completed,265850,2052.5,167635.85,Medium
PRJ-0115,CLT-043,Civic Capital Customer Analytics Pilot,SL-06,BR-005,CON-059,Fixed Fee,2025-05-07,2025-07-29,2025-09-01,,,Completed,105730,1112,70849.67,Low
PRJ-0116,CLT-008,Highland Labs Finance Transformation Roadmap,SL-02,BR-006,CON-077,Time & Materials,2025-09-14,2025-12-13,,,,In Progress,83000,701.9,48812.47,High
PRJ-0117,CLT-031,Birch Retail Customer Analytics Pilot,SL-03,BR-006,CON-069,Fixed Fee,2024-10-06,2025-01-24,,2024-11-09,Client merger/restructure,Cancelled,233790,1905.4,155626.18,Medium
PRJ-0118,CLT-095,Greenfield Municipal Services Cloud Readiness Assessment,SL-03,BR-001,CON-032,Fixed Fee,2024-04-09,2024-12-05,2024-12-08,,,Completed,85880,660.5,53943.6,Low
PRJ-0119,CLT-033,Hudson Telecom Finance Transformation Roadmap,SL-02,BR-002,CON-006,Retainer,2024-10-13,2025-02-10,2025-01-26,,,Completed,251850,2364.3,164419.16,Medium
PRJ-0120,CLT-076,Seaway Capital Process Automation Sprint,SL-06,BR-003,CON-059,Fixed Fee,2023-08-13,2023-10-18,2023-10-20,,,Completed,59950,629.5,40104.95,High
PRJ-0121,CLT-062,Capstone Construction BI Dashboard Implementation,SL-03,BR-003,CON-033,Fixed Fee,2023-01-26,2023-08-13,2023-09-20,,,Completed,226780,1696.6,138569.28,Low
PRJ-0122,CLT-056,Sterling Holdings Reporting Modernization,SL-04,BR-003,CON-074,Fixed Fee,2024-02-17,2024-04-05,,2024-03-29,Client merger/restructure,Cancelled,115100,876.7,74607.47,Medium
PRJ-0123,CLT-075,Sterling Facilities Operating Model Review,SL-06,BR-008,CON-059,Time & Materials,2024-08-23,2024-10-19,,2024-09-18,Procurement cancelled,Cancelled,63110,689.6,43934.05,Low
PRJ-0124,CLT-032,Ironwood University Finance Transformation Roadmap,SL-01,BR-006,CON-022,Fixed Fee,2025-06-20,2025-12-19,,,,In Progress,162580,1638,103630.6,Medium
PRJ-0125,CLT-091,Seaway FinServ Workforce Change Program,SL-04,BR-002,CON-015,Fixed Fee,2025-02-06,2025-04-09,2025-05-08,,,Completed,50790,402.4,34240.54,Medium
PRJ-0126,CLT-047,Metro Logistics BI Dashboard Implementation,SL-04,BR-002,CON-074,Retainer,2023-03-01,2023-09-18,2023-10-07,,,Completed,78550,628.1,53447.44,Low
PRJ-0127,CLT-047,Metro Logistics BI Dashboard Implementation,SL-02,BR-002,CON-077,Fixed Fee,2023-05-02,2023-09-14,2023-09-04,,,Completed,174070,1638.6,113954.82,Low
PRJ-0128,CLT-074,Capstone Holdings Cloud Readiness Assessment,SL-05,BR-005,CON-057,Time & Materials,2023-08-22,2023-12-20,2023-12-29,,,Completed,136360,874.5,76675.85,High
PRJ-0129,CLT-085,Riverbend Telecom Data Quality Remediation,SL-02,BR-003,CON-038,Fixed Fee,2023-10-11,2024-03-09,,,,In Progress,142770,1217.3,84655.35,Low
PRJ-0130,CLT-062,Capstone Construction Operating Model Review,SL-04,BR-005,CON-036,Fixed Fee,2025-08-31,2025-12-23,,,,,260580,1871.1,159230.65,Low
PRJ-0131,CLT-041,Seaway Energy Customer Analytics Pilot,SL-01,BR-006,CON-033,Time & Materials,2025-05-23,2026-01-08,,,,In Progress,82500,737.7,46668.94,Medium
PRJ-0132,CLT-010,Pinecrest Telecom Finance Transformation Roadmap,SL-04,BR-002,CON-015,Fixed Fee,2024-06-27,2024-11-26,2025-01-03,,,Completed,64480,467.1,39752.52,Medium
PRJ-0133,CLT-066,Hudson Energy Workforce Change Program,SL-02,BR-001,CON-006,Fixed Fee,2025-04-20,2025-06-30,2025-07-16,,,Completed,89560,801,55701.54,Medium
PRJ-0134,CLT-049,Polar Energy Cloud Readiness Assessment,SL-06,BR-002,CON-059,Fixed Fee,2024-07-19,2024-12-19,2024-12-22,,,Completed,159960,1655.3,105458.67,High
PRJ-0135,CLT-060,Aurora Group Finance Transformation Roadmap,SL-04,BR-004,CON-022,Fixed Fee,2024-03-09,2024-10-03,,2024-05-19,Procurement cancelled,Cancelled,327480,2353.7,200302.74,Low
PRJ-0136,CLT-052,Highland Hospitality Data Quality Remediation,SL-02,BR-002,CON-006,Fixed Fee,2024-07-16,2024-09-21,2024-10-27,,,,51810,472.3,32845.52,Low
PRJ-0137,CLT-017,Polar University Controls & Compliance Review,SL-01,BR-006,CON-078,Time & Materials,2024-07-10,2024-11-05,2024-12-16,,,Completed,225320,2087.9,132093.15,Low
PRJ-0138,CLT-030,Union Manufacturing Process Automation Sprint,SL-04,BR-001,CON-036,Time & Materials,2024-08-06,2024-11-05,2024-11-27,,,Completed,90720,683.7,58183.88,Medium
PRJ-0139,CLT-029,Lakeside Supply Chain Data Quality Remediation,SL-03,BR-004,CON-069,Fixed Fee,2023-11-23,2024-06-11,2024-06-26,,,Completed,181490,1497.6,122317.81,Low
PRJ-0140,CLT-073,Skyline Telecom Operating Model Review,SL-06,BR-002,CON-059,Retainer,2025-09-27,2025-12-12,,,,,63780,628.4,40037.71,Low
PRJ-0141,CLT-087,Ironwood Partners Customer Analytics Pilot,SL-05,BR-002,CON-056,Time & Materials,2025-09-23,2026-01-08,,,,In Progress,318350,2163.8,189718.11,Low
PRJ-0142,CLT-011,Birch Education Finance Transformation Roadmap,SL-03,BR-007,CON-017,Fixed Fee,2023-12-17,2024-07-13,2024-08-29,,,Completed,75510,572.3,46741.23,Medium
